community_id,size
5790,1
5791,1
5792,1
5793,3
5794,1
5795,1
5796,1
5797,1
5798,1
5799,1
5800,1
5801,1
5802,4
5803,1
5804,1
5805,2
5806,1
5807,1
5808,1
5809,1
5810,1
5811,5
5812,1
5813,1
5814,3
5815,1
5816,1
5817,2
5818,1
5819,1
5820,1
5821,1
5822,1
5823,4
5824,1
5825,2
5826,1
5827,1
5828,1
5829,3
5830,1
5831,4
5832,2
5833,1
5834,1
5835,1
5836,1
5837,1
5838,1
5839,1
5840,5
5841,1
5842,1
5843,1
5844,1
5845,1
5846,1
5847,1
5848,3
5849,1
5850,1
5851,3
5852,1
5853,1
5854,1
5855,1
5856,1
5857,3
5858,1
5859,1
5860,1
5861,3
5862,1
5863,1
5864,1
5865,1
5866,1
5867,1
5868,1
5869,1
5870,1
5871,1
5872,1
5873,1
5874,1
5875,1
5876,1
5877,1
5878,3
5879,3
5880,2
5881,1
5882,2
5883,2
5884,1
5885,1
5886,1
5887,1
5888,1
5889,1
5890,1
5891,1
5892,1
5893,1
5894,1
5895,1
5896,1
5897,1
5898,2
5899,1
5900,1
5901,1
5902,1
5903,1
5904,1
5905,1
5906,1
5907,1
5908,1
5909,1
5910,1
5911,1
5912,1
5913,1
5914,1
5915,3
5916,1
5917,1
5918,1
5919,1
5920,2
5921,1
5922,1
5923,1
5924,1
5925,1
5926,1
5927,2
5928,1
5929,1
5930,1
5931,2
5932,1
5933,1
5934,1
5935,2
5936,1
5937,1
5938,1
5939,1
5940,1
5941,1
5942,1
5943,1
5944,1
5945,1
5946,1
5947,1
5948,1
5949,1
5950,1
5951,1
5952,1
5953,1
5954,1
5955,1
5956,1
5957,1
5958,1
5959,1
5960,1
5961,1
5962,1
5963,1
5964,1
5965,2
5966,1
5967,1
5968,1
5969,1
5970,1
5971,1
5972,1
5973,1
5974,1
5975,1
5976,1
5977,1
5978,1
5979,1
5980,1
5981,1
5982,2
5983,1
5984,1
5985,1
5986,1
5987,1
5988,1
5989,1
5990,1
5991,1
5992,1
5993,1
5994,2
5995,2
5996,1
5997,1
5998,1
5999,1
6000,1
6001,1
6002,1
6003,1
6004,1
6005,1
6006,1
6007,1
6008,1
6009,1
6010,1
6011,1
6012,1
6013,1
6014,1
6015,1
6016,1
6017,1
6018,1
6019,1
6020,1
6021,1
6022,1
6023,1
6024,1
6025,1
6026,1
6027,1
6028,1
6029,3
6030,1
6031,1
6032,1
6033,1
6034,1
6035,1
6036,1
6037,1
6038,1
6039,1
6040,1
6041,1
6042,1
6043,1
6044,1
6045,1
6046,1
6047,1
6048,1
6049,1
6050,1
6051,1
6052,1
6053,1
6054,1
6055,1
6056,1
6057,1
6058,1
6059,1
6060,1
6061,1
6062,1
6063,1
6064,1
6065,2
6066,1
6067,1
6068,1
6069,1
6070,1
6071,1
6072,1
6073,1
6074,1
6075,1
6076,2
6077,1
6078,1
6079,1
6080,1
6081,1
6082,1
6083,1
6084,1
6085,1
6086,1
6087,1
6088,1
6089,2
6090,1
6091,1
6092,1
6093,1
6094,1
6095,1
6096,1
6097,1
6098,1
6099,1
6100,1
6101,1
6102,1
6103,1
6104,1
6105,1
6106,1
6107,1
6108,1
6109,1
6110,1
6111,1
6112,1
6113,1
6114,1
6115,1
6116,1
6117,1
6118,1
6119,1
6120,1
6121,2
6122,1
6123,1
6124,1
6125,1
6126,1
6127,1
6128,1
6129,1
6130,1
6131,1
6132,1
6133,1
6134,1
6135,1
6136,1
6137,2
6138,1
6139,1
6140,1
6141,2
6142,1
6143,1
6144,1
6145,1
6146,1
6147,1
6148,1
6149,1
6150,1
6151,1
6152,1
6153,1
6154,1
6155,1
6156,1
6157,1
6158,1
6159,1
6160,2
6161,2
6162,1
6163,1
6164,1
6165,1
6166,1
6167,1
6168,1
6169,1
6170,1
6171,1
6172,1
6173,1
6174,2
6175,1
6176,1
6177,1
6178,1
6179,1
6180,2
6181,1
6182,1
6183,2
6184,3
6185,2
6186,1
6187,1
6188,1
6189,1
6190,1
6191,1
6192,1
6193,2
6194,1
6195,1
6196,1
6197,1
6198,1
6199,1
6200,1
6201,1
6202,1
6203,1
6204,1
6205,1
6206,1
6207,1
6208,1
6209,1
6210,1
6211,1
6212,1
6213,1
6214,1
6215,1
6216,1
6217,1
6218,1
6219,1
6220,1
6221,1
6222,1
6223,1
6224,1
6225,1
6226,1
6227,1
6228,1
6229,3
6230,1
6231,1
6232,2
6233,1
6234,1
6235,1
6236,1
6237,1
6238,1
6239,1
6240,4
6241,2
6242,1
6243,1
6244,1
6245,2
6246,1
6247,3
6248,1
6249,2
6250,1
6251,1
6252,1
6253,1
6254,1
6255,1
6256,4
6257,1
6258,1
6259,1
6260,1
6261,1
6262,1
6263,1
6264,2
6265,1
6266,1
6267,1
6268,2
6269,1
6270,1
6271,1
6272,1
6273,1
6274,1
6275,1
6276,1
6277,1
6278,1
6279,1
6280,1
6281,2
6282,1
6283,1
6284,1
6285,1
6286,1
6287,1
6288,7
6289,1
6290,1
6291,1
6292,3
6293,1
6294,1
6295,3
6296,4
6297,1
6298,1
6299,1
6300,1
6301,1
6302,1
6303,1
6304,1
6305,1
6306,1
6307,1
6308,1
6309,1
6310,1
6311,1
6312,1
6313,1
6314,1
6315,1
6316,1
6317,1
6318,1
6319,1
6320,1
6321,1
6322,1
6323,1
6324,1
6325,2
6326,1
6327,1
6328,1
6329,2
6330,1
6331,1
6332,1
6333,1
6334,1
6335,1
6336,1
6337,1
6338,1
6339,1
6340,2
6341,1
6342,1
6343,1
6344,2
6345,1
6346,1
6347,5
6348,1
6349,1
6350,1
6351,1
6352,1
6353,2
6354,2
6355,1
6356,1
6357,2
6358,1
6359,1
6360,1
6361,1
6362,1
6363,1
6364,1
6365,1
6366,2
6367,5
6368,1
6369,2
6370,1
6371,1
6372,1
6373,1
6374,2
6375,1
6376,1
6377,1
6378,1
6379,1
6380,9
6381,2
6382,1
6383,1
6384,1
6385,1
6386,1
6387,1
6388,1
6389,6
6390,1
6391,1
6392,2
6393,1
6394,1
6395,1
6396,1
6397,1
6398,1
6399,1
6400,1
6401,1
6402,1
6403,2
6404,1
6405,1
6406,1
6407,1
6408,1
6409,1
6410,1
6411,2
6412,1
6413,1
6414,1
6415,2
6416,1
6417,1
6418,1
6419,1
6420,3
6421,1
6422,1
6423,1
6424,1
6425,1
6426,1
6427,1
6428,1
6429,1
6430,1
6431,1
6432,2
6433,5
6434,1
6435,1
6436,1
6437,1
6438,1
6439,2
6440,1
6441,1
6442,1
6443,1
6444,1
6445,1
6446,1
6447,1
6448,1
6449,1
6450,2
6451,1
6452,1
6453,1
6454,1
6455,1
6456,1
6457,1
6458,1
6459,1
6460,1
6461,1
6462,4
6463,1
6464,1
6465,1
6466,1
6467,1
6468,1
6469,1
6470,1
6471,1
6472,1
6473,1
6474,1
6475,1
6476,1
6477,1
6478,1
6479,1
6480,1
6481,1
6482,1
6483,1
6484,1
6485,1
6486,3
6487,1
6488,1
6489,1
6490,1
6491,1
6492,1
6493,1
6494,1
6495,1
6496,1
6497,2
6498,1
6499,1
6500,1
6501,1
6502,1
6503,3
6504,1
6505,1
6506,1
6507,1
6508,1
6509,1
6510,1
6511,1
6512,1
6513,1
6514,1
6515,1
6516,1
6517,1
6518,3
6519,1
6520,1
6521,1
6522,1
6523,1
6524,3
6525,1
6526,1
6527,1
6528,4
6529,1
6530,1
6531,1
6532,1
6533,1
6534,1
6535,1
6536,1
6537,1
6538,1
6539,1
6540,1
6541,1
6542,1
6543,1
6544,1
6545,1
6546,1
6547,1
6548,1
6549,1
6550,1
6551,1
6552,1
6553,1
6554,1
6555,1
6556,1
6557,1
6558,1
6559,1
6560,1
6561,1
6562,1
6563,1
6564,1
6565,2
6566,1
6567,2
6568,2
6569,1
6570,1
6571,1
6572,2
6573,2
6574,1
6575,2
6576,1
6577,1
6578,1
6579,1
6580,1
6581,1
6582,1
6583,1
6584,1
6585,2
6586,3
6587,3
6588,1
6589,1
6590,1
6591,1
6592,1
6593,1
6594,1
6595,1
6596,1
6597,1
6598,1
6599,1
6600,1
6601,1
6602,1
6603,9
6604,1
6605,1
6606,1
6607,1
6608,1
6609,1
6610,1
6611,1
6612,2
6613,1
6614,1
6615,1
6616,1
6617,1
6618,3
6619,1
6620,1
6621,1
6622,3
6623,2
6624,1
6625,1
6626,1
6627,1
6628,1
6629,1
6630,1
6631,1
6632,1
6633,1
6634,1
6635,1
6636,1
6637,1
6638,1
6639,1
6640,1
6641,1
6642,1
6643,1
6644,1
6645,1
6646,1
6647,1
6648,1
6649,1
6650,1
6651,1
6652,1
6653,1
6654,2
6655,1
6656,1
6657,1
6658,1
6659,1
6660,1
6661,1
6662,1
6663,1
6664,1
6665,1
6666,1
6667,1
6668,1
6669,1
6670,1
6671,1
6672,1
6673,1
6674,1
6675,1
6676,1
6677,1
6678,2
6679,1
6680,1
6681,2
6682,1
6683,1
6684,1
6685,1
6686,1
6687,1
6688,2
6689,2
6690,4
6691,1
6692,1
6693,1
6694,1
6695,1
6696,2
6697,1
6698,1
6699,2
6700,1
6701,1
6702,8
6703,1
6704,1
6705,1
6706,1
6707,2
6708,1
6709,1
6710,1
6711,1
6712,1
6713,1
6714,1
6715,1
6716,1
6717,1
6718,1
6719,4
6720,1
6721,1
6722,1
6723,1
6724,1
6725,1
6726,1
6727,1
6728,1
6729,1
6730,2
6731,1
6732,1
6733,1
6734,2
6735,1
6736,1
6737,1
6738,1
6739,2
6740,1
6741,2
6742,1
6743,1
6744,3
6745,2
6746,1
6747,1
6748,2
6749,1
6750,1
6751,1
6752,1
6753,1
6754,2
6755,1
6756,1
6757,1
6758,1
6759,1
6760,1
6761,1
6762,1
6763,1
6764,1
6765,1
6766,1
6767,1
6768,1
6769,1
6770,1
6771,1
6772,1
6773,1
6774,1
6775,3
6776,1
6777,1
6778,4
6779,1
6780,2
6781,1
6782,2
6783,1
6784,3
6785,2
6786,1
6787,1
6788,2
6789,1
6790,1
6791,1
6792,1
6793,1
6794,1
6795,1
6796,1
6797,1
6798,1
6799,1
6800,1
6801,1
6802,1
6803,1
6804,2
6805,1
6806,3
6807,2
6808,1
6809,1
6810,1
6811,1
6812,2
6813,1
6814,2
6815,1
6816,1
6817,1
6818,4
6819,1
6820,1
6821,1
6822,1
6823,1
6824,2
6825,1
6826,1
6827,1
6828,1
6829,1
6830,1
6831,1
6832,1
6833,1
6834,2
6835,1
6836,1
6837,1
6838,2
6839,1
6840,2
6841,5
6842,1
6843,1
6844,3
6845,1
6846,2
6847,1
6848,1
6849,1
6850,1
6851,4
6852,1
6853,1
6854,1
6855,1
6856,2
6857,1
6858,1
6859,4
6860,1
6861,1
6862,1
6863,1
6864,1
6865,1
6866,1
6867,3
6868,1
6869,1
6870,1
6871,1
6872,1
6873,1
6874,1
6875,1
6876,2
6877,1
6878,1
6879,1
6880,1
6881,1
6882,2
6883,1
6884,1
6885,1
6886,1
6887,1
6888,1
6889,1
6890,1
6891,1
6892,1
6893,2
6894,1
6895,1
6896,1
6897,1
6898,1
6899,1
6900,1
6901,1
6902,1
6903,4
6904,1
6905,1
6906,2
6907,1
6908,1
6909,4
6910,1
6911,1
6912,1
6913,1
6914,1
6915,1
6916,2
6917,1
6918,1
6919,1
6920,1
6921,2
6922,1
6923,1
6924,1
6925,1
6926,2
6927,1
6928,1
6929,2
6930,1
6931,1
6932,1
6933,1
6934,1
6935,1
6936,2
6937,1
6938,1
6939,1
6940,1
6941,1
6942,1
6943,1
6944,1
6945,1
6946,1
6947,1
6948,1
6949,1
6950,1
6951,1
6952,1
6953,1
6954,2
6955,1
6956,1
6957,1
6958,1
6959,2
6960,1
6961,1
6962,1
6963,1
6964,1
6965,1
6966,1
6967,1
6968,1
6969,2
6970,1
6971,1
6972,1
6973,1
6974,1
6975,2
6976,1
6977,1
6978,2
6979,1
6980,1
6981,1
6982,1
6983,1
6984,1
6985,2
6986,1
6987,2
6988,1
6989,1
6990,1
6991,1
6992,1
6993,1
6994,2
6995,1
6996,1
6997,1
6998,1
6999,1
7000,1
7001,1
7002,1
7003,2
7004,1
7005,1
7006,1
7007,1
7008,1
7009,1
7010,1
7011,1
7012,1
7013,1
7014,1
7015,1
7016,1
7017,1
7018,1
7019,2
7020,2
7021,1
7022,2
7023,1
7024,1
7025,1
7026,1
7027,1
7028,1
7029,1
7030,1
7031,1
7032,1
7033,1
7034,1
7035,1
7036,1
7037,1
7038,1
7039,1
7040,1
7041,1
7042,1
7043,1
7044,1
7045,2
7046,1
7047,1
7048,1
7049,1
7050,1
7051,1
7052,1
7053,1
7054,1
7055,2
7056,1
7057,1
7058,1
7059,1
7060,1
7061,2
7062,3
7063,1
7064,1
7065,1
7066,1
7067,1
7068,1
7069,1
7070,1
7071,1
7072,1
7073,1
7074,1
7075,1
7076,1
7077,2
7078,1
7079,1
7080,2
7081,9
7082,1
7083,1
7084,1
7085,1
7086,1
7087,1
7088,1
7089,1
7090,1
7091,1
7092,1
7093,1
7094,1
7095,1
7096,2
7097,2
7098,1
7099,1
7100,1
7101,1
7102,1
7103,1
7104,1
7105,1
7106,1
7107,1
7108,1
7109,1
7110,1
7111,3
7112,1
7113,1
7114,1
7115,1
7116,1
7117,1
7118,1
7119,1
7120,1
7121,1
7122,1
7123,2
7124,1
7125,1
7126,1
7127,1
7128,1
7129,1
7130,1
7131,1
7132,2
7133,1
7134,5
7135,1
7136,1
7137,1
7138,1
7139,1
7140,1
7141,4
7142,2
7143,1
7144,1
7145,2
7146,1
7147,4
7148,1
7149,1
7150,2
7151,2
7152,1
7153,1
7154,1
7155,1
7156,1
7157,1
7158,1
7159,3
7160,1
7161,4
7162,1
7163,1
7164,1
7165,1
7166,1
7167,1
7168,1
7169,1
7170,1
7171,1
7172,1
7173,1
7174,1
7175,1
7176,1
7177,1
7178,1
7179,1
7180,1
7181,1
7182,1
7183,1
7184,2
7185,1
7186,1
7187,1
7188,1
7189,1
7190,1
7191,1
7192,1
7193,1
7194,1
7195,1
7196,1
7197,1
7198,1
7199,1
7200,2
7201,1
7202,1
7203,1
7204,1
7205,2
7206,1
7207,1
7208,2
7209,1
7210,1
7211,1
7212,1
7213,1
7214,1
7215,1
7216,1
7217,1
7218,1
7219,1
7220,1
7221,2
7222,1
7223,1
7224,1
7225,1
7226,1
7227,1
7228,1
7229,1
7230,1
7231,1
7232,1
7233,2
7234,1
7235,1
7236,1
7237,1
7238,1
7239,1
7240,1
7241,2
7242,1
7243,2
7244,1
7245,1
7246,1
7247,1
7248,1
7249,2
7250,1
7251,1
7252,9
7253,1
7254,1
7255,1
7256,1
7257,1
7258,1
7259,5
7260,1
7261,1
7262,1
7263,1
7264,1
7265,1
7266,1
7267,1
7268,1
7269,1
7270,1
7271,1
7272,1
7273,1
7274,1
7275,1
7276,1
7277,1
7278,1
7279,1
7280,1
7281,1
7282,1
7283,1
7284,1
7285,1
7286,1
7287,1
7288,1
7289,1
7290,1
7291,1
7292,1
7293,1
7294,1
7295,1
7296,1
7297,1
7298,1
7299,2
7300,3
7301,12
7302,1
7303,1
7304,1
7305,2
7306,1
7307,1
7308,1
7309,1
7310,1
7311,1
7312,1
7313,9
7314,1
7315,1
7316,2
7317,1
7318,1
7319,1
7320,1
7321,6
7322,1
7323,1
7324,1
7325,2
7326,1
7327,1
7328,1
7329,2
7330,1
7331,1
7332,2
7333,1
7334,1
7335,2
7336,1
7337,2
7338,1
7339,1
7340,1
7341,1
7342,1
7343,1
7344,1
7345,1
7346,1
7347,1
7348,3
7349,2
7350,1
7351,1
7352,1
7353,1
7354,1
7355,2
7356,2
7357,1
7358,1
7359,1
7360,1
7361,1
7362,1
7363,1
7364,1
7365,1
7366,1
7367,2
7368,1
7369,1
7370,1
7371,1
7372,1
7373,1
7374,1
7375,1
7376,4
7377,1
7378,1
7379,1
7380,1
7381,2
7382,1
7383,1
7384,1
7385,1
7386,1
7387,1
7388,1
7389,2
7390,1
7391,1
7392,3
7393,1
7394,1
7395,1
7396,1
7397,1
7398,1
7399,1
7400,1
7401,1
7402,1
7403,1
7404,1
7405,1
7406,1
7407,2
7408,1
7409,2
7410,2
7411,1
7412,1
7413,1
7414,1
7415,1
7416,1
7417,2
7418,1
7419,1
7420,2
7421,3
7422,1
7423,1
7424,1
7425,1
7426,1
7427,1
7428,1
7429,1
7430,1
7431,1
7432,1
7433,1
7434,4
7435,1
7436,3
7437,1
7438,1
7439,1
7440,1
7441,1
7442,1
7443,1
7444,1
7445,1
7446,2
7447,1
7448,1
7449,3
7450,1
7451,5
7452,1
7453,1
7454,1
7455,2
7456,4
7457,1
7458,2
7459,1
7460,1
7461,1
7462,1
7463,1
7464,1
7465,1
7466,1
7467,1
7468,1
7469,1
7470,1
7471,1
7472,1
7473,1
7474,1
7475,1
7476,1
7477,2
7478,1
7479,1
7480,1
7481,1
7482,1
7483,2
7484,1
7485,2
7486,1
7487,1
7488,1
7489,1
7490,1
7491,1
7492,1
7493,1
7494,1
7495,1
7496,1
7497,1
7498,2
7499,2
7500,1
7501,1
7502,1
7503,1
7504,1
7505,1
7506,1
7507,1
7508,1
7509,1
7510,1
7511,1
7512,1
7513,1
7514,1
7515,1
7516,1
7517,1
7518,1
7519,2
7520,1
7521,1
7522,1
7523,1
7524,1
7525,1
7526,1
7527,1
7528,1
7529,1
7530,1
7531,1
7532,4
7533,2
7534,1
7535,1
7536,1
7537,1
7538,2
7539,2
7540,1
7541,1
7542,1
7543,1
7544,1
7545,1
7546,1
7547,1
7548,2
7549,1
7550,1
7551,1
7552,1
7553,1
7554,1
7555,1
7556,7
7557,1
7558,1
7559,1
7560,1
7561,5
7562,1
7563,1
7564,1
7565,1
7566,2
7567,1
7568,1
7569,1
7570,2
7571,1
7572,1
7573,4
7574,1
7575,1
7576,3
7577,1
7578,1
7579,1
7580,1
7581,1
7582,1
7583,1
7584,3
7585,1
7586,1
7587,2
7588,1
7589,1
7590,1
7591,1
7592,1
7593,1
7594,1
7595,1
7596,1
7597,1
7598,1
7599,1
7600,2
7601,1
7602,1
7603,1
7604,1
7605,1
7606,1
7607,2
7608,1
7609,1
7610,1
7611,2
7612,2
7613,2
7614,1
7615,1
7616,1
7617,1
7618,4
7619,1
7620,1
7621,1
7622,1
7623,1
7624,3
7625,1
7626,1
7627,1
7628,1
7629,1
7630,1
7631,1
7632,1
7633,1
7634,1
7635,1
7636,1
7637,2
7638,1
7639,1
7640,1
7641,1
7642,1
7643,1
7644,1
7645,7
7646,1
7647,1
7648,1
7649,1
7650,1
7651,3
7652,1
7653,2
7654,1
7655,1
7656,1
7657,1
7658,1
7659,1
7660,1
7661,1
7662,1
7663,1
7664,1
7665,1
7666,1
7667,1
7668,1
7669,1
7670,1
7671,1
7672,6
7673,1
7674,1
7675,2
7676,1
7677,1
7678,1
7679,1
7680,1
7681,1
7682,1
7683,1
7684,1
7685,1
7686,1
7687,2
7688,2
7689,12
7690,1
7691,1
7692,1
7693,1
7694,1
7695,1
7696,3
7697,2
7698,1
7699,1
7700,1
7701,1
7702,2
7703,1
7704,1
7705,1
7706,1
7707,1
7708,1
7709,5
7710,1
7711,1
7712,1
7713,2
7714,1
7715,1
7716,1
7717,1
7718,2
7719,1
7720,3
7721,1
7722,1
7723,1
7724,2
7725,1
7726,1
7727,1
7728,1
7729,1
7730,1
7731,1
7732,1
7733,2
7734,1
7735,2
7736,1
7737,1
69,1
